step,suceptible_status,infected_status,recovered_status,vaccinated_status
0,999,1,0,0
1,999,1,0,0
2,999,1,0,0
3,999,1,0,0
4,999,1,0,0
5,999,1,0,0
6,999,1,0,0
7,999,1,0,0
8,999,1,0,0
9,999,1,0,0
10,999,1,0,0
11,999,1,0,0
12,999,1,0,0
13,999,1,0,0
14,999,1,0,0
15,999,1,0,0
16,999,1,0,0
17,999,1,0,0
18,999,1,0,0
19,999,1,0,0
20,999,1,0,0
21,999,1,0,0
22,999,1,0,0
23,999,1,0,0
24,999,1,0,0
25,999,1,0,0
26,999,1,0,0
27,999,1,0,0
28,999,1,0,0
29,999,1,0,0
30,999,1,0,0
31,999,1,0,0
32,999,1,0,0
33,999,1,0,0
34,999,1,0,0
35,998,2,0,0
36,998,2,0,0
37,998,2,0,0
38,998,2,0,0
39,998,2,0,0
40,998,2,0,0
41,998,2,0,0
42,998,2,0,0
43,998,2,0,0
44,998,2,0,0
45,998,2,0,0
46,998,2,0,0
47,998,2,0,0
48,998,2,0,0
49,997,3,0,0
50,997,3,0,0
51,997,3,0,0
52,997,3,0,0
53,997,3,0,0
54,997,3,0,0
55,997,3,0,0
56,997,3,0,0
57,997,3,0,0
58,997,3,0,0
59,997,3,0,0
60,997,3,0,0
61,997,3,0,0
62,997,3,0,0
63,997,3,0,0
64,997,3,0,0
65,997,3,0,0
66,996,4,0,0
67,996,4,0,0
68,995,5,0,0
69,995,5,0,0
70,995,5,0,0
71,995,5,0,0
72,995,5,0,0
73,995,5,0,0
74,994,6,0,0
75,993,7,0,0
76,992,8,0,0
77,991,9,0,0
78,990,10,0,0
79,990,10,0,0
80,990,10,0,0
81,989,11,0,0
82,989,11,0,0
83,989,11,0,0
84,989,11,0,0
85,988,12,0,0
86,988,12,0,0
87,988,12,0,0
88,988,12,0,0
89,988,12,0,0
90,988,12,0,0
91,988,12,0,0
92,988,12,0,0
93,988,12,0,0
94,988,12,0,0
95,988,12,0,0
96,988,12,0,0
97,988,12,0,0
98,987,13,0,0
99,987,13,0,0
100,987,13,0,0
101,987,13,0,0
102,986,14,0,0
103,984,16,0,0
104,984,16,0,0
105,984,16,0,0
